commit_id,lines_added,lines_removed,lines_modified,files_changed,commit_role,project,dataset_source
3c97e9bb92d2572631c4633c04ec00607a10638d,42,1,4,3,VIC,tomcat,TOSEM
3cfe34fefedcf0fdcfcb061c0aea34a715b7de6,4,27,4,1,VFC,struts,TOSEM
630e1ba065a8215c4e9ac03bfb09be9d655c2b6e,4,27,4,1,VFC,struts,TOSEM
b4265d369dc29d57a9f2846a85b26598e83f3892,10,0,70,3,VFC,struts,TOSEM
0c543aef318341ca9bd482e15f1637497b8a4dfd,45523,0,0,294,VIC,struts,TOSEM
9e2c0e409899cc7eae9b01db85f4e355062e88c1,6,0,1,1,VIC,undertow,TOSEM
928dbc232f851bf06a40032a2fd297c5d7d8352c,121521,0,0,883,VIC,milo,TOSEM
88d89d6523802c044cfcb7930cba40d8eeb21da2,0,0,1,1,VFC,jspwiki,TOSEM
5da3fd1da735f32b138a850d990a6f51190cef5f,83834,0,0,364,VIC,jspwiki,TOSEM
6a0d7d56e4ffb420316ce7849fde881344fbf881,1,0,0,1,VFC,OpenRefine,TOSEM
78edff6f7f410bb53c03e67f7f90a6d3521cee7f,3965,2353,813,62,VIC,OpenRefine,TOSEM
90c898335786211d253c0503453e2f8b93e0d3fe,5,564,39,6,VFC,cxf-fediz,TOSEM
f65c961ea31e3c1851daba8e7e49fc37bbf77b19,6,563,44,6,VFC,cxf-fediz,TOSEM
ec46e587ac2cff468a1c10664dbf2af12d9672b5,4626,0,0,29,VIC,cxf-fediz,TOSEM
44a5ca0fbd357b8b5d81aa9313fb01cca30d8ad,16,0,3,2,VFC,syncope,TOSEM
735579b6f987b407049ac1f1da08e675d957c3e,17,0,4,4,VFC,syncope,TOSEM
7b168c142b09c3b03e39f1449211e7ddf026a14,11,0,3,3,VFC,syncope,TOSEM
07aa458582c654e0683091b9da36e54c1ce7a0c4,113,71,345,73,VIC,syncope,TOSEM
4e67928412ad56333d400f3728ecdb59d07d9d63,33,0,5,1,VFC,tika,TOSEM
4b38d6228f4ba5ee912735dc692275499bbf45f6,230,8,30,4,VIC,tika,TOSEM
1f9f44ceb818b46518176e81c6dea5a0d12750c,19,1,8,1,VFC,kylin,TOSEM
e373c64c96a54a7abfe4bccb82e8feb60db0474,40,19,11,1,VFC,kylin,TOSEM
8cfe32cf4f61d218439e57e134ccc3413aa98f89,58,61,20,2,VIC,kylin,TOSEM
bc7d01048579430b4b2df668178809b63d3f1929,2,2,18,6,VFC,spring-framework,TOSEM
d27b5d0ab6e8b91a77e272ad57ae83c7d81d810b,83,39,55,11,VIC,spring-framework,TOSEM
6b710a42e00acca405e085724c89cda016cf7442,104,11,14,9,VFC,hadoop,TOSEM
9ca394d54dd24e67867c845a58150f6b51761512,526,0,13,10,VIC,hadoop,TOSEM
a41ce6892cb0590b2e658704434ac0dbcb6834c8,1,0,1,1,VFC,commons-compress,TOSEM
29f975ea99d9b9310c6fc33ac4f844fb10f4d98a,9,54,28,1,VIC,commons-compress,TOSEM
957c56dbe5b1490490c09ddfbca9a4204c7c9d00,43,0,0,1,VFC,hadoop,TOSEM
a196766ea07775f18ded69bd9e8d239f8cfd3ccc,264565,0,0,1628,VIC,hadoop,TOSEM
1f464b9412e1b1c08d40c8ffac40edd52731da48,39,0,2,7,VFC,activemq,TOSEM
508128e3e64aeb0c09339172aabb8dbd3434980c,19,0,8,2,VIC,activemq,TOSEM
cdcf49c0a2b36ffc7a004d54405bb4357870c4b2,1,0,2,1,VFC,tapestry-5,TOSEM
95846b173d83c2eb42db75dae3e7d5e13a633946,249,2,19,7,VIC,tapestry-5,TOSEM
eccc31ebce5430f9e91b9684c63eaaf885e603f9,0,0,1,1,VFC,struts,TOSEM
a0fdca138feec2c2e94eb75ca1f8b76678b4d152,0,0,1,1,VFC,struts,TOSEM
31be88afa28fb9b1e9854d0d7673ab9b979cf9be,46,0,0,1,VIC,struts,TOSEM
acaac81f96fec91ab45bd0412beaf9c3acd8defa,9,0,1,1,VFC,bc-java,TOSEM
416d12366597ba69358b76e0d17bbb9b3bdfcd5d,2,4,18,1,VIC,bc-java,TOSEM
2b8200f7d701ea6ff9638f629f0bd81d2e48410c,191,3,51,6,VFC,poi,TOSEM
8f0093e4648f0e9598d26847984eee060535f951,37,0,10,2,VIC,poi,TOSEM
40bf278e66786544411c471de5123e7a71826b9f,188,4,11,7,VFC,cas,TOSEM
5cba088905f1ee6f4a2f6616dd064330405aa82d,3,0,2,1,VIC,cas,TOSEM
9b16fef6e9a1c8f4352cb979df8ef4a9336d655,115,0,29,10,VFC,spring-data-jpa,TOSEM
ee39e8863bb43b63e34fe9ac6ec9b864cd8afca,11,0,4,1,VFC,spring-data-jpa,TOSEM
16661f7e7e28f8ea8585a0402bd91eb6721ce55,82,11,16,10,VFC,spring-data-jpa,TOSEM
417202db8e1714bdca1bd57879634866934c6f5,28,10,10,3,VFC,spring-data-jpa,TOSEM
271a2814157c5de78345effdbe2a21c740880cd,28,9,8,4,VFC,spring-data-jpa,TOSEM
89b18d573394c84012c58c892e9a3844fb8c7b4,11,2,2,1,VFC,spring-data-jpa,TOSEM
8a5743c74b7ab1daf7cb428fee0d9b3f03fb914,128,0,53,9,VFC,spring-data-jpa,TOSEM
c47a5d09a1123ca8e77f832f8335e227b820b3f,83,4,19,9,VFC,spring-data-jpa,TOSEM
4d4e6d418fe3bca14c7cff1c7161e3794026f96,122,1,33,10,VFC,spring-data-jpa,TOSEM
899b8b0db3d40603488ad50f116ab9e68021ba3,86,10,16,10,VFC,spring-data-jpa,TOSEM
b6060be66b6cbf447c0c62e5b80caa565e10f38,11,0,4,1,VFC,spring-data-jpa,TOSEM
ee03f9b4a5facaee1b9d25313862e1d043f5a5d,40,19,20,6,VFC,spring-data-jpa,TOSEM
c47a5d09a1123ca8e77f832f8335e227b820b3fc,83,4,19,9,VIC,spring-data-jpa,TOSEM
efb860b3ff8ebcf606199b8d0d432f76898040da,4,0,0,1,VFC,tomcat,TOSEM
816552abf6735fa37dfd37c8a7bfbdbd045477e0,41,13,6,3,VIC,tomcat,TOSEM
3e4c4bed2d08e81ca5961ab5fcadab23470db1c,9,0,4,1,VFC,karaf,TOSEM
2ccfba48bdfac6c2cd09c8f058641da0011e4c7,9,0,4,1,VFC,karaf,TOSEM
cecc58e7495aad84069401d9703badb99937becf,171,10,44,3,VIC,karaf,TOSEM
12d715676038efbf9c728af10163f8277fc019d,7,0,0,1,VFC,tomcat,TOSEM
1c1c77b0efb667cea80b532440b44cea1dc427c,7,0,0,1,VFC,tomcat,TOSEM
40fa74c74822711ab878079d0a69f7357926723,7,0,0,1,VFC,tomcat,TOSEM
fc6f2ead8463d06ae73954508927e4f2224c8e77,11,6,34,3,VIC,tomcat,TOSEM
02b0439639a9dab264cdb3ed4081c231e0079c13,303,37,4,5,VFC,ignite,TOSEM
1e0a7c21ea77ae2684a2d0b5d809b4241567bd2b,552,0,0,6,VIC,ignite,TOSEM
dac97f1b7dac3e70ff603fb6fc9f205b95dd6b01,12,0,2,1,VFC,spring-framework,TOSEM
f2694a8ed93f1f63f87ce45d0bb638478b426acd,12,0,3,1,VFC,spring-framework,TOSEM
a99fe3eda4af496cd6e2b90b7f9988a76fe6695e,11,14,25,3,VIC,spring-framework,TOSEM
426be73b9e7500fa3d441231fa4e473de34743f6,55,0,2,1,VFC,tika,TOSEM
5f05b511d7d1184f6f25a2b644b615c4f21b8e68,399,23,173,18,VIC,tika,TOSEM
cd31cc397fe17389d95b83d6a9caa46eebc54faf,37,3,22,5,VFC,uaa,TOSEM
327fbdc2c2f8595b1fbc09f5925c907b42f2d45a,4981,0,7,66,VIC,uaa,TOSEM
75411ab34a3d53c43c2d508b12314a9788aa417,1688,267,89,26,VFC,zookeeper,TOSEM
6d9fc04c052adbc79bbbb1c63f3f00c816fb8e5,145,1,12,4,VFC,zookeeper,TOSEM
b0fbdba0c2a0334704f4c8969f2d0deb5d73cf95,24,24,555,13,VIC,zookeeper,TOSEM
025b48f3193e2b10b1c41d2bc3bcfc9cfc238a27,3,0,1,1,VFC,qpid-broker-j,TOSEM
e91f279199ac5419d71ba7b15070c585f4962eb3,9075,55243,1205,529,VIC,qpid-broker-j,TOSEM
2235894210c75f624a3d0cd60bfb0434a20a18bf,99,45,4,2,VFC,jackson-databind,TOSEM
6ce32ffd18facac6abdbbf559c817b47fcb622c1,23,0,0,1,VIC,jackson-databind,TOSEM
ed4b9d791f9470e4c3de691dd0153a9ce431701b,3,0,3,2,VFC,tomcat,TOSEM
8460d7712dcbb72e3d4f2f8ebb9a26fc4e9ddcf9,29,1,1,5,VIC,tomcat,TOSEM
dbf259508c2b8e176d8cb837177aaadbf44f0670,35,34,1,1,VFC,nifi,TOSEM
ac8e57259f8e4d8183d938f46a28f3c73b595940,33,0,0,1,VIC,nifi,TOSEM
4c6584306b40de9b2dfa9065c3a438cd918534af,1,0,2,1,VFC,swagger-parser,TOSEM
4044ecfb80732b721ffa206388574cf08bf7d295,17,1,19,3,VIC,swagger-parser,TOSEM
666e356ebc479194ba51e43bb99fc42f849b6175,40,1,23,1,VFC,spring-security,TOSEM
7d97adc68789f4a191cee15de482530dd9d5c31d,308,0,49,6,VIC,spring-security,TOSEM
97b565469058cacac6d2559b2cff37effcca2cfd,24,0,1,1,VFC,keycloak,TOSEM
80e2b8eb39af640eaf6cec8b9dcdd0eef7c48aa7,510,0,43,17,VIC,keycloak,TOSEM
a48698caa32933458916980ab05256f56099a337,121,0,10,5,VFC,keycloak,TOSEM
0a4fd79b225df03d769a267c9b464893a36753c6,67,0,0,4,VIC,keycloak,TOSEM
b8e7fecccc7dc8edcabb4704656a7abe6352c08f,264,0,3,2,VFC,spring-data-jpa,TOSEM
a9cfe73511342c7f7d95a591bbf5ca1e7a8c1e86,58,0,6,1,VIC,spring-data-jpa,TOSEM
a97766d62f067845869c44b39604851c7ca91d02,10,0,0,1,VFC,nifi,TOSEM
4d998c12c95a6e5ce3d66c0d861e75e33b5cf013,193114,0,0,1271,VIC,nifi,TOSEM
3e28ac1e463c78f4b181144d5ca41f578a2d3b8f,249,13,24,8,VIC,keycloak,TOSEM
a36035b49ba7d6514d6c386b51e1ad2512371b3d,18,0,3,1,VFC,archiva,TOSEM
1bb10ee01e2f32135eeaf12a6639cacd75563e04,467,0,1,6,VIC,archiva,TOSEM
1c5f53076b625c44111c1e9430dc36327a08858,21,0,0,2,VFC,elasticsearch,TOSEM
6f59ef267b2c3567754f8bea87daafc34cd9bd5,20,0,0,2,VFC,elasticsearch,TOSEM
7f21ade92407c5c65d2bd83a42e752838acdde5,21,0,0,2,VFC,elasticsearch,TOSEM
fe36861ada3e75259ff601a9f6b0e1cd5fbb8afe,4812,315,185,71,VIC,elasticsearch,TOSEM
6bd694b7980494c12d49ca1bf39f12aec3e03e2f,0,5,1,1,VFC,struts,TOSEM
cfe77b1f8230ef18dfb2063806ebbfbc2d7d45bb,0,0,0,456,VIC,struts,TOSEM
f8ed98e684c1a67a77ae8726db05a04a4978a445,11,0,4,1,VFC,cxf,TOSEM
88a9451b92180609b7bb93d0314bc8384f0c24a4,230466,0,0,1667,VIC,cxf,TOSEM
1db7e02de3eb0c011ee6681f5a12eb9d166fea8,74,1,13,3,VFC,spring-framework,TOSEM
d3acf45ea4db51fa5c4cbd0bc0e7b6d9ef805e6,74,1,13,3,VFC,spring-framework,TOSEM
2eeb2e92359381328789585233e54c9bbd41e6dc,2802,2,88,45,VIC,spring-framework,TOSEM
97d871a7553a01384b43df855dccdda5205ae77,1466,1050,125,27,VFC,netty,TOSEM
2caa38a2795fe1f1ae6ceda4d69e826ed7c55e5,0,0,23,7,VFC,netty,TOSEM
31815598a2af37f0b71ea94eada70d6659c2375,0,0,23,7,VFC,netty,TOSEM
0c55c85d06ccd2f0bd38a5376417b5c6b8c09aef,368,276,19,9,VIC,netty,TOSEM
2a2f1dc48e22a34ddb72321a4db211da91aa933b,0,0,1,1,VFC,commons-compress,TOSEM
a433f625f89c1d464b05186411ff20802e292fb4,1357,0,0,6,VIC,commons-compress,TOSEM
2412c90ba5584fed123fa6a33e752e6c8eaf74e9,11,0,0,1,VFC,commons-beanutils,TOSEM
4e410e068b8d367c53766a7da712b1b6f3fd8101,64,0,0,1,VFC,commons-beanutils,TOSEM
62e82ad92cf4818709d6044aaf257b73d42659a4,1,0,0,1,VFC,commons-beanutils,TOSEM
25ac3249dc2a40bd52ceccc9251c8446b036d197,21,0,1,2,VIC,commons-beanutils,TOSEM
885ab3459e146ff830d1f7257f809f4a3dd4493a,0,0,6,1,VFC,struts,TOSEM
5a29daedeb5ac7e9e2af87ce1a7bbfad230d5c8,1678,267,106,24,VFC,zookeeper,TOSEM
8a06bd1ccef382461c7b0a63f2012f4aeac9075,1673,264,126,24,VFC,zookeeper,TOSEM
0957b8404e1ecfc5703d7c2827752773b7dc23be,554,362,163,12,VIC,zookeeper,TOSEM
d87d1e4f8e20f6494c0232bf8560c961b46db634,70,0,5,1,VFC,dropwizard,TOSEM
98fa28a60b235d9c600fac578227086fc86b42df,347,0,0,6,VIC,dropwizard,TOSEM
060ecc,84,0,33,3,VFC,tomcat,TOSEM
959f1d,84,0,33,3,VFC,tomcat,TOSEM
b191a0,84,0,33,3,VFC,tomcat,TOSEM
b3a8e01654549b0b79fc7c7684cd492cd5aafe4b,2,8,6,1,VIC,tomcat,TOSEM
6d7d2927ddcd8c7ddd902fa1196b1e780c0d70ea,207,0,4,1,VFC,spring-batch,TOSEM
22109eea84e4ea5ab773f58baad2b366b1858591,68,0,0,1,VIC,spring-batch,TOSEM
54b65c1d30848835f26bd138c0ba407bc1e560d,3,7,4,2,VFC,camel,TOSEM
2ec54fa0c13ae65bdcccff764af081a79fcc05f,3,7,4,2,VFC,camel,TOSEM
341d4e6cca71c53c90962d1c3d45fc9e05cc50c6,3,7,4,2,VFC,camel,TOSEM
4abc7be95f5a39c4ab0781da53e89b13fe863990,47,0,5,2,VIC,camel,TOSEM
2b31723708256c08c5209308eb6ccfb03e2ab990,0,0,1,1,VFC,cordova-plugin-file-transfer,TOSEM
8fcdb1aa3deb892691b44bdf57e8d780da09e2a4,1,0,0,1,VFC,cordova-plugin-file-transfer,TOSEM
ad6647120db12f0e67ee4a952a71ea494a39a475,20,0,1,1,VFC,cordova-plugin-file-transfer,TOSEM
35e89b3aeccc9377d85ea382091ea50a0915949f,1096,0,0,3,VIC,cordova-plugin-file-transfer,TOSEM
796716d44183bd315dd20184a66b39ae533eb747,8,12,8,2,VFC,archiva,TOSEM
a36035b49ba7d6514d6c386b51e1ad2512371b3d,18,0,3,1,VIC,archiva,TOSEM
1c6815ac1b26fb2f079adbe283c43a7fd0885f3,53,147,43,4,VFC,spring-security-oauth,TOSEM
6b1791179c1092553aa0690da22dac4dff2fc58,53,147,43,4,VFC,spring-security-oauth,TOSEM
8e9792c1963f1aeea81ca618785eb8d71d1cd1d,53,147,43,4,VFC,spring-security-oauth,TOSEM
adb1e6d19c681f394c9513799b81b527b0cb007,53,147,43,4,VFC,spring-security-oauth,TOSEM
787c9b47d801b0cf08d35bca4805986c43f56836,195,74,57,7,VIC,spring-security-oauth,TOSEM
38a882331035ffed205d15a5c92b471fd09659c,1151,1631,199,33,VFC,JGroups,TOSEM
fba182c14075789e1d2c976d50d9018c671ad0b,1086,8,61,11,VFC,JGroups,TOSEM
b67a6e80598b9ec728997e12bbc13d56bb23ba1c,43,23,19,2,VIC,JGroups,TOSEM
25c6704bea149ee93c294ae5b6e0aecd182fea88,0,0,1,1,VFC,xstream,TOSEM
7c77ac0397a1f93c69d2776a13c31957f55d1647,18,4,5,1,VFC,xstream,TOSEM
87172cfc1dd7f8f6e137963c778b03efd14ac446,24,0,8,2,VFC,xstream,TOSEM
c9b121a88664988ccbabd83fa27bfc2a5e0bd139,8,0,10,4,VFC,xstream,TOSEM
5b5cd6d8137f645c5d57b648afb1a305967aa7f,18,4,5,1,VFC,xstream,TOSEM
696ec886a23dae880cf12e34e1fe09c5df8fe94,24,0,17,3,VFC,xstream,TOSEM
806949e1b3c22a3b31819a37402489a0303221a,5,0,1,1,VFC,xstream,TOSEM
e4f1457e681e015be83c6b0b84947676980e29d,8,0,11,4,VFC,xstream,TOSEM
4fd39f2f2616d4ea9e1d25d30dc78931be01dfb0,448,26,32,11,VIC,xstream,TOSEM
98891b1d9e022b467a3e4674aca4d1889849b1d,1,0,3,1,VFC,vertx-web,TOSEM
f42b193b15a29b772fc576b2d0f2497e7474a7e,1,0,3,1,VFC,vertx-web,TOSEM
341ecefb8db8d99918c8a69fe57436f72bac509a,14,0,1,2,VIC,vertx-web,TOSEM
46de5d01ae2741ffe04c36270fc62c6d490f65c9,3,0,0,1,VFC,neo4j,TOSEM
26ff65ccf13111c42942d8652e9e616e91e1fd08,46,0,21,2,VIC,neo4j,TOSEM
